"X","C","E","B"
100,6.96915e-011,-5.33185e-011,-9.38225e-013
107,1.05605e-010,-8.94053e-011,-7.36103e-013
114,1.68041e-010,-1.52139e-010,-4.09944e-013
121,2.76219e-010,-2.60828e-010,1.30329e-013
128,4.63025e-010,-4.48514e-010,1.03887e-012
135,7.84542e-010,-7.71543e-010,2.57863e-012
142,1.33611e-009,-1.3257e-009,5.19669e-012
149,2.27927e-009,-2.27328e-009,9.65069e-012
156,3.88686e-009,-3.88842e-009,1.72206e-011
163,6.61826e-009,-6.63264e-009,3.00618e-011
170,1.12445e-008,-1.12806e-008,5.17924e-011
177,1.90555e-008,-1.91283e-008,8.84675e-011
184,3.22032e-008,-3.23376e-008,1.50189e-010
191,5.42655e-008,-5.45035e-008,2.53757e-010
198,9.11747e-008,-9.15859e-008,4.2703e-010
205,1.52736e-007,-1.53436e-007,7.16066e-010
212,2.55107e-007,-2.56288e-007,1.19678e-009
219,4.24837e-007,-4.26815e-007,1.99391e-009
226,7.05418e-007,-7.08714e-007,3.31187e-009
233,1.16789e-006,-1.17336e-006,5.4846e-009
240,1.92794e-006,-1.93698e-006,9.05605e-009
247,3.17341e-006,-3.18831e-006,1.49096e-008
254,5.20835e-006,-5.23281e-006,2.44756e-008
261,8.52333e-006,-8.56338e-006,4.00626e-008
268,1.39072e-005,-1.39725e-005,6.53844e-008
275,2.26232e-005,-2.27296e-005,1.06393e-007
282,3.66861e-005,-3.68587e-005,1.72589e-007
289,5.92896e-005,-5.95687e-005,2.79054e-007
296,9.54599e-005,-9.59095e-005,4.49576e-007
303,0.000153025,-0.000153746,7.21331e-007
310,0.000243993,-0.000245145,1.15166e-006
317,0.000386382,-0.000388209,1.82736e-006
324,0.000606319,-0.000609195,2.87606e-006
331,0.000939794,-0.000944272,4.4776e-006
338,0.00143263,-0.0014395,6.86978e-006
345,0.00213649,-0.00214683,1.03389e-005
352,0.00309935,-0.00311453,1.51857e-005
359,0.00435162,-0.00437329,2.16669e-005
366,0.00589438,-0.00592431,2.99336e-005
373,0.00769658,-0.00773657,3.99955e-005
380,0.00970347,-0.0097552,5.17299e-005
387,0.0118505,-0.0119155,6.49244e-005
394,0.014076,-0.0141554,7.93263e-005
401,0.0163281,-0.0164228,9.46829e-005
408,0.0185667,-0.0186774,0.000110766
415,0.0193562,-0.0194887,0.000132486
422,0.019448,-0.0196042,0.000156221
429,0.0194951,-0.0196746,0.000179469
436,0.0195265,-0.0197286,0.000202147
443,0.0195498,-0.019774,0.000224249
450,0.0195666,-0.0198121,0.000245788
457,0.0195834,-0.0198502,0.000266779
464,0.0195953,-0.0198823,0.000287241
471,0.0196072,-0.0199144,0.000307191
478,0.0196159,-0.0199428,0.000326648
485,0.0196245,-0.0199711,0.000345629
492,0.0196331,-0.0199967,0.00036415
499,0.0196395,-0.0200223,0.000382227
506,0.0196458,-0.0200453,0.000399877
513,0.0196521,-0.0200684,0.000417113
520,0.0196569,-0.0200914,0.00043395
527,0.0196616,-0.020112,0.000450402
534,0.0196664,-0.0201327,0.000466481
541,0.0196711,-0.0201533,0.0004822
548,0.0196746,-0.0201721,0.000497571
555,0.0196781,-0.0201908,0.000512605
562,0.0196816,-0.0202096,0.000527313
569,0.0196852,-0.0202268,0.000541705
576,0.0196887,-0.020244,0.000555792
583,0.0196912,-0.0202612,0.000569583
590,0.0196938,-0.0202768,0.000583087
597,0.0196964,-0.0202925,0.000596313
604,0.019699,-0.0203082,0.000609269
611,0.0197016,-0.0203239,0.000621964
618,0.0197042,-0.0203381,0.000634406
625,0.019706,-0.0203523,0.000646602
632,0.0197079,-0.0203665,0.000658559
639,0.0197098,-0.0203807,0.000670284
646,0.0197117,-0.0203937,0.000681783
653,0.0197136,-0.0204066,0.000693064
660,0.0197155,-0.0204196,0.000704133
667,0.0197173,-0.0204326,0.000714994
674,0.0197192,-0.0204444,0.000725655
681,0.0197206,-0.0204562,0.00073612
688,0.0197219,-0.020468,0.000746395
695,0.0197232,-0.0204798,0.000756485
702,0.0197246,-0.0204915,0.000766395
709,0.0197259,-0.0205022,0.00077613
716,0.0197273,-0.0205129,0.000785694
723,0.0197286,-0.0205236,0.000795091
737,0.0197313,-0.0205449,0.000813405
744,0.0197326,-0.0205546,0.000822255
751,0.0197337,-0.0205643,0.000831104
765,0.0197357,-0.0205838,0.000848218
772,0.0197367,-0.0205935,0.000856496
779,0.0197377,-0.0206024,0.000864775
793,0.0197397,-0.0206204,0.000880803
800,0.0197407,-0.0206293,0.000888626
